biotoolsID,owner,repo,repo_url,repo.stargazers_count,repo.watchers_count,repo.subscribers_count,repo.forks_count,repo.open_issues_count,repo.network_count,num_contributors,num_releases,num_commits,num_pulls,avg_time_to_close_days,maturity
fair_eva_4_eucaim,IFCA-Advanced-Computing,FAIR_eva,https://github.com/IFCA-Advanced-Computing/FAIR_eva,2.0,2.0,5.0,3.0,3.0,3.0,6.0,1.0,1002.0,267.0,,Mature
hmdb,,,,,,,,,,,,,,,Mature
ipapy2,francescodc87,ipaPy2,https://github.com/francescodc87/ipaPy2,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,256.0,0.0,54.294,None
matrixqcvis,tnaake,MatrixQCvis,https://github.com/tnaake/MatrixQCvis/,5.0,5.0,2.0,1.0,2.0,1.0,5.0,0.0,398.0,0.0,34.059,None
eucaim-cdm-federated-unbalance-cheker,,,,,,,,,,,,,,,Emerging
msquality,tnaake,MsQuality,https://github.com/tnaake/MsQuality/,8.0,8.0,2.0,0.0,3.0,0.0,4.0,0.0,325.0,7.0,109.228,None
metcirc,tnaake,MetCirc,https://github.com/tnaake/MetCirc/,4.0,4.0,3.0,2.0,1.0,2.0,12.0,0.0,209.0,1.0,659.298,None
automated_detection_and_segmentation_nsclc,primakov,DuneAI-Automated-detection-and-segmentation-of-non-small-cell-lung-cancer-computed-tomography-images,https://github.com/primakov/DuneAI-Automated-detection-and-segmentation-of-non-small-cell-lung-cancer-computed-tomography-images,83.0,83.0,1.0,26.0,4.0,26.0,1.0,0.0,18.0,1.0,121.711,None
um_rqs_2.0_with_rrls,,,,,,,,,,,,,,,Emerging
osiris,OSIRIS-Solutions,osiris,https://github.com/OSIRIS-Solutions/osiris,19.0,19.0,3.0,9.0,53.0,9.0,6.0,17.0,1265.0,78.0,48.078,Mature
dicom_file_integrity_checker_by_gibi230,,,,,,,,,,,,,,,Emerging
breastdeformnet,,,,,,,,,,,,,,,Emerging
hcc_segmentation_tool_for_contrast-enhanced_abdominal_ct,josegcpa,nnunet_serve,https://github.com/josegcpa/nnunet_serve,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,223.0,0.0,,Emerging
dicom_tags_extractor,,,,,,,,,,,,,,,Legacy
metabolights,,,,,,,,,,,,,,,Mature
mri_image_intensity_normalization,,,,,,,,,,,,,,,Emerging
retip,oloBion,Retip,https://github.com/oloBion/Retip,32.0,32.0,9.0,18.0,10.0,18.0,5.0,2.0,143.0,3.0,16.044,None
precision-medicine-toolbox,,,,,,,,,,,,,,,None
recetox-xmsannotator,RECETOX,recetox-xMSannotator,https://github.com/RECETOX/recetox-xMSannotator,5.0,5.0,0.0,7.0,15.0,9.0,8.0,2.0,439.0,46.0,116.766,Emerging
lethe_dicom_anonymizer,,,,,,,,,,,,,,,None
eucaim_wizard_tool,cbml-forth,eucaim_wizard_tool,https://github.com/cbml-forth/eucaim_wizard_tool,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,,Emerging
mfassignr,skschum,MFAssignR,https://github.com/skschum/MFAssignR,25.0,25.0,7.0,27.0,11.0,27.0,1.0,7.0,311.0,20.0,25.039,Emerging
recetox-aplcms,RECETOX,recetox-aplcms,https://github.com/RECETOX/recetox-aplcms,5.0,5.0,0.0,12.0,22.0,13.0,12.0,19.0,1256.0,101.0,133.002,Emerging
qp-insights_uploader,,,,,,,,,,,,,,,None
image_quality_assessment_metrics_iqa_for_xnat_platform,FerielRamdhane,XNAT-Quality-Metrics,https://github.com/FerielRamdhane/XNAT-Quality-Metrics/tree/main,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,0.0,,None
eetl_toolset,,,,,,,,,,,,,,,Emerging
workflow4metabolomics,,,https://github.com/workflow4metabolomics,,,,,,,,,,,,Mature
spec2vec,iomega,spec2vec_gnps_data_analysis,https://github.com/iomega/spec2vec_gnps_data_analysis,24.0,24.0,5.0,12.0,2.0,12.0,1.0,0.0,99.0,1.0,72.062,None
ms2deepscore,matchms,ms2deepscore,https://github.com/matchms/ms2deepscore,71.0,71.0,3.0,29.0,8.0,29.0,9.0,25.0,1634.0,163.0,279.925,None
camera,,,,,,,,,,,,,,,None
metams,,,,,,,,,,,,,,,None
scstudio,DiseaseTranscriptomicsLab,scStudio,https://github.com/DiseaseTranscriptomicsLab/scStudio,7.0,7.0,1.0,2.0,0.0,2.0,2.0,0.0,205.0,0.0,,Emerging
ct_slice_thickness_normalization,,,,,,,,,,,,,,,Emerging
PreciseDose,,,,,,,,,,,,,,,None
peptideshaker,compomics,peptide-shaker,https://github.com/compomics/peptide-shaker,52.0,52.0,18.0,18.0,44.0,18.0,24.0,0.0,4004.0,12.0,109.022,None
celltypist,Teichlab,celltypist,https://github.com/Teichlab/celltypist,425.0,425.0,7.0,50.0,42.0,50.0,4.0,26.0,755.0,17.0,39.367,None
disulfind,,,,,,,,,,,,,,,None
image_duplicate_check_tool,,,,,,,,,,,,,,,None
dicom_image_similarity-duplicate_checker,,,,,,,,,,,,,,,Mature
bamslice,nebiolabs,bamslice,https://github.com/nebiolabs/bamslice,2.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,21.0,0.0,,Emerging
ngp,magnuspalmblad,NGP,https://github.com/magnuspalmblad/NGP,4.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,53.0,0.0,0.838,None
cleavpredict,,,,,,,,,,,,,,,None
krona,marbl,Krona,https://github.com/marbl/Krona/wiki,491.0,491.0,37.0,106.0,121.0,106.0,16.0,8.0,205.0,16.0,65.824,Mature
raclahe,dzaridis,RACLAHE_Image_Enhancement_for_CNN_model_segmentation,https://github.com/dzaridis/RACLAHE_Image_Enhancement_for_CNN_model_segmentation/tree/main,5.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,55.0,0.0,,None
MINERVA_Platform,,,,,,,,,,,,,,,Mature
netstart_2.0,lsandvad,netstart2,https://github.com/lsandvad/netstart2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,63.0,0.0,2.752,None
stripepy,paulsengroup,StripePy,https://github.com/paulsengroup/StripePy/issues,9.0,9.0,4.0,3.0,0.0,3.0,5.0,7.0,936.0,176.0,47.954,None
PTM-CrossTalkMapper,veitveit,CrossTalkMapper,https://github.com/veitveit/CrossTalkMapper,2.0,2.0,2.0,0.0,2.0,0.0,3.0,0.0,63.0,1.0,,None
Thor,GuangyuWangLab2021,Thor,https://github.com/GuangyuWangLab2021/Thor,24.0,24.0,1.0,5.0,1.0,5.0,1.0,1.0,28.0,0.0,19.61,None
tetranscripts,mhammell-laboratory,TEtranscripts,https://github.com/mhammell-laboratory/TEtranscripts,267.0,267.0,18.0,30.0,2.0,30.0,12.0,14.0,341.0,5.0,32.261,Mature
NetworkX,,,,,,,,,,,,,,,Mature
string-space,deweihu96,SPACE,https://github.com/deweihu96/SPACE,31.0,31.0,2.0,0.0,1.0,0.0,2.0,0.0,32.0,4.0,3.582,None
nucleoatac,GreenleafLab,NucleoATAC,https://github.com/GreenleafLab/NucleoATAC,108.0,108.0,17.0,32.0,25.0,32.0,2.0,7.0,123.0,6.0,120.61,None
ms_annika,hgb-bin-proteomics,MSAnnika,https://github.com/hgb-bin-proteomics/MSAnnika,10.0,10.0,3.0,0.0,8.0,0.0,1.0,13.0,155.0,28.0,20.848,Mature
shaman,aghozlane,shaman,https://github.com/aghozlane/shaman,13.0,13.0,2.0,8.0,0.0,8.0,10.0,1.0,737.0,2.0,84.107,Mature
vivo_platform,gcanudo-barreras,ViVo-Platform,https://github.com/gcanudo-barreras/ViVo-Platform,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,114.0,0.0,,Emerging
sushie,mancusolab,sushie,https://github.com/mancusolab/sushie,28.0,28.0,3.0,4.0,0.0,4.0,2.0,1.0,230.0,37.0,63.901,None
extended_a_priori_probability_tool,,,,,,,,,,,,,,,Mature
denoising-inhomogeneity_correction_tool,,,,,,,,,,,,,,,None
integration_of_multiple_datasets,,,,,,,,,,,,,,,None
nf-core_proteinfamilies,nf-core,proteinfamilies,https://github.com/nf-core/proteinfamilies,21.0,21.0,188.0,3.0,9.0,3.0,9.0,7.0,619.0,104.0,42.216,Mature
gentropy,opentargets,gentropy,https://github.com/opentargets/gentropy,49.0,49.0,3.0,15.0,0.0,15.0,22.0,20.0,2591.0,1163.0,,None
ddgwizard,bioinfbrad,DDGWizard,https://github.com/bioinfbrad/DDGWizard,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,,None
scdenorm,,,,,,,,,,,,,,,None
breast_dense_tissue_segmentation,,,,,,,,,,,,,,,Mature
afexcore,AfexGenesis,AfexCore,https://github.com/AfexGenesis/AfexCore,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,,None
ccbr_tools,CCBR,Tools,https://github.com/CCBR/Tools,1.0,1.0,2.0,0.0,8.0,0.0,6.0,20.0,562.0,81.0,43.18,None
data_integration_quality_check_tool_diqct,,,,,,,,,,,,,,,Mature
tabular_data_curator,vpz4,TDC,https://github.com/vpz4/TDC,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,51.0,0.0,,None
raw2ometiff,glencoesoftware,raw2ometiff,https://github.com/glencoesoftware/raw2ometiff,56.0,56.0,15.0,23.0,5.0,23.0,4.0,26.0,403.0,108.0,143.384,None
bioformats2raw,glencoesoftware,bioformats2raw,https://github.com/glencoesoftware/bioformats2raw,101.0,101.0,16.0,36.0,17.0,36.0,14.0,31.0,834.0,185.0,108.98,None
dynamont,rnajena,dynamont,https://github.com/rnajena/dynamont,4.0,4.0,2.0,1.0,0.0,1.0,3.0,10.0,455.0,4.0,130.908,Mature
tnmplot,,,,,,,,,,,,,,,None
cancer_hallmarks,,,,,,,,,,,,,,,None
cells2visium,cellgeni,cells2visium,https://github.com/cellgeni/cells2visium,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,45.0,1.0,,None
bin2cell,Teichlab,bin2cell,https://github.com/Teichlab/bin2cell,128.0,128.0,3.0,12.0,7.0,12.0,1.0,0.0,83.0,0.0,32.226,None
exposomeshiny_-_a_toolbox_for_exposome_data_analysis,isglobal-brge,exposomeShiny,https://github.com/isglobal-brge/exposomeShiny/tree/master,8.0,8.0,3.0,2.0,0.0,2.0,3.0,7.0,62.0,0.0,,None
we-expose,,,,,,,,,,,,,,,None
equal-life_toolbox_collection,,,,,,,,,,,,,,,None
html4blast,,,,,,,,,,,,,,,Legacy
oncoanalyser,nf-core,oncoanalyser,https://github.com/nf-core/oncoanalyser/tree/dev,93.0,93.0,178.0,27.0,11.0,27.0,14.0,4.0,1010.0,167.0,66.809,Mature
mirtarget,,,,,,,,,,,,,,,None
datmat,,,,,,,,,,,,,,,Emerging
img2catalog,Health-RI,img2catalog,https://github.com/Health-RI/img2catalog,6.0,6.0,2.0,6.0,2.0,6.0,9.0,9.0,224.0,74.0,32.207,None
xnat.bmia.nl,,,,,,,,,,,,,,,None
plausibility_database,,,,,,,,,,,,,,,None
catalogue_-_blood_eqtms_in_children,,,,,,,,,,,,,,,None
helix_cohort,,,,,,,,,,,,,,,None
rdeval,,,,,,,,,,,,,,,None
genolist,,,,,,,,,,,,,,,Legacy
omamer,DessimozLab,omamer,https://github.com/DessimozLab/omamer,22.0,22.0,7.0,5.0,3.0,5.0,6.0,14.0,465.0,38.0,15.703,Emerging
hictk,paulsengroup,hictk,https://github.com/paulsengroup/hictk,41.0,41.0,2.0,1.0,8.0,1.0,4.0,23.0,2374.0,425.0,29.475,Mature
metabolink,M3Metabolomics,MetaboLink,https://github.com/M3Metabolomics/MetaboLink/,4.0,4.0,1.0,4.0,0.0,4.0,3.0,0.0,328.0,78.0,,Emerging
epik,phylo42,EPIK,https://github.com/phylo42/EPIK,7.0,7.0,2.0,1.0,1.0,1.0,4.0,6.0,294.0,7.0,55.335,Emerging
pastaq,PASTAQ-MS,PASTAQ,https://github.com/PASTAQ-MS/PASTAQ,7.0,7.0,2.0,5.0,3.0,5.0,10.0,0.0,870.0,20.0,784.615,None
shinydatashield,,,,,,,,,,,,,,,None
omicrexposome,,,,,,,,,,,,,,,None
rexposome,,,,,,,,,,,,,,,None
Exposome-Explorer,,,,,,,,,,,,,,,None
read2tree,DessimozLab,read2tree,https://github.com/DessimozLab/read2tree,153.0,153.0,8.0,19.0,22.0,19.0,34.0,5.0,587.0,13.0,30.934,Emerging
xnat,,,,,,,,,,,,,,,Mature
phynteny_transformer,susiegriggo,Phynteny_transformer,https://github.com/susiegriggo/Phynteny_transformer,10.0,10.0,2.0,3.0,0.0,3.0,8.0,3.0,362.0,46.0,42.448,None
shark.webservice,,,,,,,,,,,,,,,Mature
demag.webservice,,,,,,,,,,,,,,,Mature
detelpy,,,,,,,,,,,,,,,Mature
shark.capture,,,,,,,,,,,,,,,Mature
shark.dive,,,,,,,,,,,,,,,Mature
cd-code,,,,,,,,,,,,,,,Mature
BEACON-x,Huang-lab,BEACON,https://github.com/Huang-lab/BEACON,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,18.0,0.0,,None
sertool,rennmeng,SERtool,https://github.com/rennmeng/SERtool,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,64.0,0.0,,Legacy
picnic-bio,,,,,,,,,,,,,,,Mature
picnic-bio.webservice,,,,,,,,,,,,,,,Mature
squarna,febos,SQUARNA,https://github.com/febos/SQUARNA,18.0,18.0,2.0,2.0,0.0,2.0,2.0,7.0,273.0,0.0,2.71,Emerging
napy,DyHealthNet,NApy,https://github.com/DyHealthNet/NApy,5.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,27.0,0.0,,None
masspec,,,,,,,,,,,,,,,Legacy
comprotein,,,,,,,,,,,,,,,Legacy
dendral,,,,,,,,,,,,,,,Legacy
openchrom,OpenChrom,openchrom,https://github.com/OpenChrom/openchrom,105.0,105.0,4.0,29.0,11.0,29.0,24.0,0.0,3525.0,333.0,54.849,Mature
raster_extraction,UtrechtUniversity,raster_extraction,https://github.com/UtrechtUniversity/raster_extraction,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,,Mature
inps,,,,,,,,,,,,,,,Mature
ddgemb,,,,,,,,,,,,,,,Mature
hdn,T-CAIREM,physionet-build,https://github.com/T-CAIREM/physionet-build,0.0,0.0,0.0,0.0,3.0,27.0,50.0,0.0,6391.0,17.0,32.013,Mature
inps-md,,,,,,,,,,,,,,,Mature
constava,bio2byte,constava,https://github.com/bio2byte/constava,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,42.0,2.0,,Emerging
methylr,JD2112,methylr,https://github.com/JD2112/methylr,12.0,12.0,1.0,1.0,3.0,1.0,2.0,3.0,183.0,3.0,4.808,None
twistmethylflow,JD2112,TwistMethylFlow,https://github.com/JD2112/TwistMethylFlow,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,110.0,6.0,,Emerging
gffx,,,https://github.com/Baohua-Chen,,,,,,,,,,,,None
miniasm,lh3,miniasm,https://github.com/lh3/miniasm,341.0,341.0,27.0,69.0,53.0,69.0,4.0,3.0,176.0,9.0,27.74,None
fedbiomed,fedbiomed,fedbiomed,https://github.com/fedbiomed/fedbiomed,65.0,65.0,9.0,12.0,194.0,12.0,38.0,4.0,7323.0,370.0,118.94,Emerging
imsim,,,,,,,,,,,,,,,None
navpa,magnuspalmblad,navpa,https://github.com/magnuspalmblad/navpa,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,9.0,0.0,0.004,Mature
SLiM_software,MesserLab,SLiM,https://github.com/MesserLab/SLiM,201.0,201.0,12.0,36.0,27.0,36.0,19.0,36.0,4325.0,165.0,86.483,Mature
cats-rf,bodulic,CATS-rf,https://github.com/bodulic/CATS-rf,3.0,3.0,4.0,0.0,0.0,0.0,3.0,5.0,77.0,0.0,0.159,Mature
atomic-charge-calculator-ii,krab1k,AtomicChargeCalculator2,https://github.com/krab1k/AtomicChargeCalculator2,15.0,15.0,1.0,6.0,0.0,6.0,4.0,0.0,192.0,15.0,,Mature
fastplong,OpenGene,fastplong,https://github.com/OpenGene/fastplong,195.0,195.0,10.0,9.0,15.0,9.0,5.0,8.0,116.0,10.0,68.34,None
repet,,,,,,,,,,,,,,,Legacy
PASTEClassifier,,,,,,,,,,,,,,,Legacy
urgi,,,,,,,,,,,,,,,None
hvrlocator,fbcorrea,hvrlocator,https://github.com/fbcorrea/hvrlocator/,1.0,1.0,2.0,3.0,0.0,3.0,6.0,0.0,92.0,2.0,280.01,None
benchmarking_graph_pipelines,KopalliV,Benchmarking_graph_pipelines,https://github.com/KopalliV/Benchmarking_graph_pipelines,3.0,3.0,2.0,1.0,0.0,1.0,2.0,0.0,22.0,0.0,,None
Jalview,,,,,,,,,,,,,,,Mature
metabolite_autoplotter,,,,,,,,,,,,,,,None
cats-rb,bodulic,CATS-rb,https://github.com/bodulic/CATS-rb,3.0,3.0,4.0,0.0,0.0,0.0,3.0,4.0,62.0,0.0,,Mature
aarnet_filesender,,,,,,,,,,,,,,,None
El-MAVEN,ElucidataInc,ElMaven,https://github.com/ElucidataInc/ElMaven,89.0,89.0,13.0,51.0,187.0,51.0,37.0,51.0,4068.0,749.0,543.169,Mature
omicflow,agusinac,OmicFlow,https://github.com/agusinac/OmicFlow/issues,0.0,0.0,1.0,0.0,2.0,0.0,4.0,3.0,219.0,0.0,17.068,None
molgenis_european_health_research_data_and_sample_catalogue,,,,,,,,,,,,,,,None
bakta,oschwengers,bakta,https://github.com/oschwengers/bakta,566.0,566.0,14.0,69.0,17.0,69.0,15.0,50.0,1042.0,94.0,47.844,Mature
metabolicatlas,MetabolicAtlas,MetabolicAtlas,https://github.com/MetabolicAtlas/MetabolicAtlas,25.0,25.0,9.0,4.0,101.0,4.0,25.0,22.0,5563.0,936.0,199.002,Mature
metasbt,cumbof,MetaSBT,https://github.com/cumbof/MetaSBT,13.0,13.0,2.0,3.0,0.0,3.0,1.0,2.0,706.0,1.0,,Mature
proteinprospector,,,,,,,,,,,,,,,None
vapor,connor-lab,vapor,https://github.com/connor-lab/vapor,10.0,10.0,3.0,11.0,5.0,11.0,3.0,3.0,189.0,2.0,0.003,None
make2d-db_ii,,,,,,,,,,,,,,,None
swiss_mass_abacus,,,,,,,,,,,,,,,None
glydin,,,,,,,,,,,,,,,None
iscan,,,,,,,,,,,,,,,None
asap-assemble,,,,,,,,,,,,,,,None
arrayanalysis.org,,,,,,,,,,,,,,,None
ucph_covid19_dashboard,CSSEGISandData,COVID-19,https://github.com/CSSEGISandData/COVID-19,29019.0,29019.0,860.0,18208.0,1680.0,18208.0,12.0,0.0,7691.0,2773.0,68.917,None
fqseqpair,,,,,,,,,,,,,,,Mature
fqseqname,,,,,,,,,,,,,,,Mature
fqquality,,,,,,,,,,,,,,,Mature
fqextract,,,,,,,,,,,,,,,Mature
fqduplicate,,,,,,,,,,,,,,,Mature
fqconvert,,,,,,,,,,,,,,,Mature
fqcleaner,,,,,,,,,,,,,,,Mature
cococonet,johnlee4,CoCoCoNet,https://github.com/johnlee4/CoCoCoNet,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,77.0,0.0,,None
single-cell_multi-scale_clustering_msc,songlabcodes,MSC,https://github.com/songlabcodes/MSC,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,32.0,0.0,,None
viromexplore,rhernandvel,ViromeXplore,https://github.com/rhernandvel/ViromeXplore,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,58.0,2.0,,None
esssubgraph,wenmm,EssSubgraph,https://github.com/wenmm/EssSubgraph/tree/main,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,50.0,0.0,,Mature
rna-disease-predictor,qiankunzizairen,PanGIA,https://github.com/qiankunzizairen/PanGIA,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,30.0,0.0,,None
ve3-genomix,,,,,,,,,,,,,,,None
mranalysis,,,,,,,,,,,,,,,None
matheat,,,,,,,,,,,,,,,None
nf-cbra-snvs,CIBERER,nf-CBRA-snvs,https://github.com/CIBERER/nf-CBRA-snvs,0.0,0.0,1.0,0.0,13.0,0.0,9.0,0.0,326.0,50.0,246.425,Emerging
whale-fjd,TBLabFJD,WHALE,https://github.com/TBLabFJD/WHALE,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,51.0,0.0,,Emerging
parrot-fjd,TBLabFJD,PARROT-FJD,https://github.com/TBLabFJD/PARROT-FJD,2.0,2.0,1.0,1.0,7.0,1.0,5.0,0.0,126.0,12.0,81.389,Emerging
fjd-pipeline,TBLabFJD,VariantCallingFJD,https://github.com/TBLabFJD/VariantCallingFJD,1.0,1.0,0.0,6.0,0.0,6.0,11.0,2.0,44.0,4.0,,Emerging
macsylib,gem-pasteur,macsylib,https://github.com/gem-pasteur/macsylib,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,176.0,0.0,,Mature
genex_workflow,NikolayOskolkov,MCWorkflow,https://github.com/NikolayOskolkov/MCWorkflow,5.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,48.0,0.0,,Mature
genome_exogenous_genex_sequence_detection_workflow,NikolayOskolkov,MCWorkflow,https://github.com/NikolayOskolkov/MCWorkflow,5.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,48.0,0.0,,None
freepii,qqpigass,FREEPII,https://github.com/qqpigass/FREEPII,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,156.0,0.0,,Emerging
AEN,liushang17,AEnet,https://github.com/liushang17/AEnet,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,111.0,1.0,,None
hictkpy,paulsengroup,hictkpy,https://github.com/paulsengroup/hictkpy,16.0,16.0,2.0,0.0,1.0,0.0,3.0,9.0,821.0,177.0,24.524,Mature
beyond_venetoclax_cryptic_pocket_pipeline,,,,,,,,,,,,,,,Emerging
macpepdb_-_mass_centric_peptide_database,medbioinf,macpepdb,https://github.com/medbioinf/macpepdb,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,569.0,35.0,,Mature
eukrep,patrickwest,EukRep,https://github.com/patrickwest/EukRep,75.0,75.0,2.0,12.0,15.0,12.0,4.0,1.0,56.0,4.0,184.973,None
WheatIS,,,,,,,,,,,,,,,Mature
RARe,,,,,,,,,,,,,,,Emerging
DataDiscovery,gnpis,DataDiscovery,https://github.com/gnpis/DataDiscovery/,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,,Emerging
gnpis,,,,,,,,,,,,,,,Mature
OakMine,,,,,,,,,,,,,,,Mature
GrapeMine,,,,,,,,,,,,,,,Mature
WheatMine,,,,,,,,,,,,,,,Mature
bigr_xnat,,,,,,,,,,,,,,,None
xnatpy,,,,,,,,,,,,,,,Mature
eukcc,EBI-Metagenomics,EukCC,https://github.com/EBI-Metagenomics/EukCC,38.0,38.0,4.0,9.0,23.0,9.0,5.0,6.0,292.0,4.0,296.184,None
etenlnc,EvolOMICS-TU,ETENLNC,https://github.com/EvolOMICS-TU/ETENLNC,3.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,26.0,1.0,,Emerging
nnunet,MIC-DKFZ,nnUNet,https://github.com/MIC-DKFZ/nnUNet/tree/nnunetv1,7589.0,7589.0,80.0,2208.0,343.0,2208.0,89.0,4.0,1774.0,230.0,95.597,None
pmg,,,,,,,,,,,,,,,None
siteengine,,,,,,,,,,,,,,,None
go_feat,fabriciopa,gofeat,"Downstream analysis of genomic and transcriptomic sequence data is often executed by functional annotation that can be performed by various bioinformatics tools and biological databases. However, a full fast integrated tool is not available for such analysis. Besides, the current available software is not able to produce analytic lists of annotations and graphs to help users in evaluating the output results. Therefore, we present the Gene Ontology Functional Enrichment Annotation Tool (GO FEAT), a free web platform for functional annotation and enrichment of genomic and transcriptomic data based on sequence homology search. The analysis can be customized and visualized as per users' needs and specifications. GO FEAT is freely available at http://computationalbiology.ufpa.br/gofeat/ and its source code is hosted at https://github.com/fabriciopa/gofeat.",17.0,17.0,2.0,6.0,4.0,6.0,2.0,0.0,35.0,1.0,90.005,None
physiboss,,,https://github.com/PhysiBoSS/,,,,,,,,,,,,None
computix,,,,,,,,,,,,,,,Emerging
tinkerhap,DZeevi-Lab,TinkerHap,https://github.com/DZeevi-Lab/TinkerHap,5.0,5.0,3.0,0.0,1.0,0.0,2.0,0.0,8.0,0.0,,Emerging
pae_viewer,,,,,,,,,,,,,,,None
subtiwiki,,,,,,,,,,,,,,,None
cellsys,,,,,,,,,,,,,,,None
ipa_idr_probabilistic_annotations,NawarMalhis,IPA,https://github.com/NawarMalhis/IPA.git,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,,None
GevaertLab_DUNE,gevaertlab,DUNE,https://github.com/gevaertlab/DUNE,,,,,,,,,,,,Mature
